question,response_time_sec,session_id
"['Hello', 'Stacey', '!', ':)', 'Welcome', 'to', 'Yup', '!', ':)', 'I', 'have', 'already', 'gone', 'through', 'your', 'problem', '.', ':)', 'Let', 'us', 'now', 'start', 'and', 'work', 'through', 'your', 'algebra', 'problem', 'together', '!', ':)', 'Before', 'moving', 'on', 'to', 'your', 'problem', ',', 'have', 'you', 'tried', 'solving', 'this', 'problem', 'on', 'your', 'own', '?']",24,300142
"['Where', 'did', 'you', 'get', 'the', '1200', '?']",11,300142
"['This', 'sentence', 'conveys', 'the', 'presence', 'of', 'two', 'entities', 'that', 'we', 'need', 'to', 'set', 'into', 'a', 'variable', '.', 'What', 'do', 'you', 'think', 'are', 'those', 'two', '?']",40,300142
"['Hello', 'Nicole', ',', 'welcome', 'to', 'Yup', '.', 'Session', 'started', 'How', 'can', 'I', 'help', 'you', '?']",18,300339
"['Are', 'you', 'familiar', 'with', 'what', 'the', 'Associative', 'Property', 'is', '?']",14,300339
"['Alright', ',', 'well', 'what', 'is', 'the', 'associative', 'property', '?']",49,300339
"['That', 'is', 'an', 'algebra', 'problem', '.', 'I', ""'ll"", 'explain', 'the', 'concept', 'that', 'we', 'need', 'to', 'use', 'to', 'solve', 'such', 'problems', '.', 'Towards', 'the', 'end', 'of', 'this', 'session', ',', 'you', ""'ll"", 'be', 'able', 'to', 'identify', 'variables', 'of', 'such', 'problems', '.', 'Just', 'remember', ',', 'the', 'more', 'you', 'participate', 'the', 'quicker', 'we', 'can', 'finish', 'this', 'session', 'and', 'the', 'more', 'you', 'will', 'learn', '.', 'Ok', ',', 'shall', 'we', 'start', '?']",40,300390
"[':)', 'Any', 'guesses', '?']",62,300390
"['Why', 'did', 'you', 'think', 'of', 'that', '?']",49,300390
"['Alright', ',', 'no', 'worries', '!', 'Can', 'you', 'multiply', '13.4', '*', '100', '?']",43,300414
"['Do', 'you', 'mean', '1000', 'kJ', 'in', '1', 'MJ', '?']",1,300414
"['Is', 'there', 'anything', 'else', 'I', 'can', 'help', 'you', 'with', '?', ':)', 'No', 'problem']",40,300414
"['could', '*', 'That', 'perfectly', 'fine', ',', 'let', ""'s"", 'walk', 'through', 'it', 'together', '.', 'Sound', 'like', 'a', 'plan', '?']",8,300477
"['How', 'many', 'moles', 'of', 'Cl2', 'would', 'react', 'to', 'create', '2', 'moles', 'of', 'ALCL3', '?']",29,300477
"['That', 'okay', '.', 'So', 'let', ""'s"", 'look', 'at', 'the', 'equation', '.', 'All', 'the', 'numbers', 'we', 'need', 'are', 'within', 'the', 'equation', '.', '2Al', '+', '3Cl2', '=', '=', '>', '2AlCl3', 'Do', 'you', 'see', 'the', '2', 'next', 'to', 'the', 'Al', '?']",4,300477
"['Thank', 'you', 'for', 'sharing', 'your', 'question', '.', 'Can', 'you', 'please', 'give', 'me', 'a', 'moment', 'to', 'go', 'over', 'the', 'problem', '?']",4,300602
"['I', ""'ve"", 'reviewed', 'your', 'problem', '.', 'Let', ""'s"", 'work', 'together', 'to', 'figure', 'out', 'exactly', 'where', 'you', ""'re"", 'stuck', '.', 'What', 'have', 'you', 'tried', 'on', 'this', 'problem', 'so', 'far', '?']",33,300602
"['Ok', '.', 'Looks', 'like', 'you', 'just', 'need', 'some', 'assistance', 'completing', 'the', 'graph', '.', 'I', 'can', 'certainly', 'tell', 'you', 'more', 'about', 'how', 'to', 'graph', 'the', 'given', 'equation', '.', 'Remember', 'to', 'participate', 'as', 'much', 'as', 'you', 'can', 'and', 'we', '’ll', 'have', 'this', 'in', 'no', 'time', '.', ':]', 'Can', 'you', 'tell', 'me', 'what', 'geometric', 'figure', 'is', 'represented', 'by', 'the', 'given', 'equation', '?']",73,300602
"['What', 'can', 'I', 'help', 'you', 'with', '?']",16,300800
"['Oh', '.', 'Are', 'saying', 'to', 'me', 'that', 'you', 'want', 'to', 'be', 'a', 'Yup', 'tutor', '?']",23,300800
"['No', 'problem', '.', 'Do', 'you', 'need', 'help', 'with', 'anything', 'else', '?']",72,300800
"['<url>', 'I', 'have', 'shared', 'a', 'similar', 'problem', 'to', 'explain', 'the', 'steps', '.', 'We', 'multiply', 'the', 'first', 'row', 'of', 'the', 'first', 'matrix', 'and', 'the', 'columns', 'of', 'the', 'second', 'matrix', 'to', 'get', 'the', 'elements', 'in', 'the', 'first', 'row', 'of', 'the', 'product', '.', 'So', ',', 'first', 'let', 'us', 'consider', 'the', 'row', '', '1', '3', 'in', 'matrix', 'I', 'and', 'the', 'column', '4', '', '2', 'in', 'matrix', 'II', '.', 'Are', 'you', 'with', 'me', 'so', 'far', '?', '<url>']",45,300856
"['Yes', 'it', 'is', 'the', 'first', 'bracket', '.', 'So', 'we', 'multiply', '1', 'x', '4', 'and', '3', 'x', '(', '-1', ')', 'and', 'add', 'them', 'to', 'get', 'the', 'first', 'element', 'in', 'the', 'first', 'row', '.', '<url>', 'We', 'thus', 'get', '(', '1', 'x', '4', ')', '+', '3(-1', ')', '=', '4', '-', '3', '=', '1', 'as', 'the', 'first', 'element', '.', 'Does', 'it', 'make', 'sense', 'so', 'far', '?']",4,300856
"['Not', 'quite', 'we', 'retain', '1', 'and', '4', 'but', 'multiply', 'with', '', '2', 'and', '5', '.', 'Let', 'me', 'show', 'that', 'step', '.', '<url>', 'We', 'do', '1', 'x', '2', '+', '3', 'x', '5', '=', '2', '+', '15', '=', '17', '.', 'Thus', '17', 'is', 'the', 'second', 'element', 'in', 'row', 'of', 'the', 'product', '.', 'Got', 'it', 'now', '?']",51,300856
"['How', 'far', 'have', 'you', 'gotten', 'in', 'solving', 'the', 'problem', '?']",13,300893
